id,headline,headline_original,url,source,source_type,author,published_at,section,collection_method,scraped_at,feed_url,fact_check_rating,fact_check_title,label,clickbait_score,clickbait_reasons,needs_review,labeling_method,split,headline_language_detected,headline_language_probability,headline_translation_reason,headline_translation_method
fb94ec1b936eaf20,Qué sabemos del vídeo que muestra un Jesucristo supuestamente destruido por musulmanes en Líbano,Qué sabemos del vídeo que muestra un Jesucristo supuestamente destruido por musulmanes en Líbano,https://maldita.es/desinfo/20260420/video-muestra-un-jesucristo-destruido-en-dawra-libano-por-musulmanes/,Maldita,fake_news,,2026-04-20T16:51:27+02:00,,factcheck_feed,2026-04-21T00:03:43.248895+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999995,kept,kept_original
86344f5bfdcad6ab,"No, este vídeo no es de ""350.000 personas"" en la visita de María Corina Machado a Madrid: acudieron unas 11.000, según Delegación del Gobierno, y este vídeo es de 2024","No, este vídeo no es de ""350.000 personas"" en la visita de María Corina Machado a Madrid: acudieron unas 11.000, según Delegación del Gobierno, y este vídeo es de 2024",https://maldita.es/desinfo/20260420/este-video-muestra-a-350000-personas-en-madrid-apoyando-a-maria-corina-machado/,Maldita,fake_news,,2026-04-20T16:36:36+02:00,,factcheck_feed,2026-04-21T00:03:43.249219+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999995,kept,kept_original
0619c85274d2e17a,"Cuidado con las imágenes que circulan de supuestas marquesinas de Madrid con mensajes llamando ""ayatolá"" a Pedro Sánchez o refiriéndose a Israel como ""estado genocida"": están manipuladas","Cuidado con las imágenes que circulan de supuestas marquesinas de Madrid con mensajes llamando ""ayatolá"" a Pedro Sánchez o refiriéndose a Israel como ""estado genocida"": están manipuladas",https://maldita.es/desinfo/20260420/hay-marquesinas-en-madrid-diciendo-ayatola-pedrito-sobre-pedro-sanchez-o-puto-estado-genocida-sobre-israel/,Maldita,fake_news,,2026-04-20T15:22:00+02:00,,factcheck_feed,2026-04-21T00:03:43.249521+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999996,kept,kept_original
204085a117e92e43,"Cuidado con las afirmaciones de que el presidente de Andalucía y su mujer tienen cuentas en paraísos fiscales: forman parte del 'Expediente Royuela', desestimado por la Justicia","Cuidado con las afirmaciones de que el presidente de Andalucía y su mujer tienen cuentas en paraísos fiscales: forman parte del 'Expediente Royuela', desestimado por la Justicia",https://maldita.es/desinfo/20260420/juanma-moreno-bonilla-tiene-2-5-millones-de-dolares-en-bladex-op-panama/,Maldita,fake_news,,2026-04-20T14:06:26+02:00,,factcheck_feed,2026-04-21T00:03:43.249812+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999997,kept,kept_original
7d53ba0f956a60a5,"Más de 19 millones de visualizaciones en al menos 17 idiomas: así ha circulado la narrativa desinformadora sobre el supuesto libro ""16 años con un monstruo"" de la exmujer de Péter Magyar del que no hay rastro","Más de 19 millones de visualizaciones en al menos 17 idiomas: así ha circulado la narrativa desinformadora sobre el supuesto libro ""16 años con un monstruo"" de la exmujer de Péter Magyar del que no hay rastro",https://maldita.es/investigaciones/20260420/mas-de-19-millones-de-visualizaciones-en-al-menos-17-idiomas-asi-ha-circulado-la-narrativa-desinformadora-sobre-el-supuesto-libro-16-anos-con-un-monstruo-de-la-exmujer-de-peter-magyar-del-que-no-hay-rastro/,Maldita,fake_news,,2026-04-20T14:05:00+02:00,,factcheck_feed,2026-04-21T00:03:43.250130+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999995,kept,kept_original
f732755f3a929c94,El timo de la supuesta caja especial de chocolates de Kinder gratis por responder una encuesta,El timo de la supuesta caja especial de chocolates de Kinder gratis por responder una encuesta,https://maldita.es/desinfo/20260420/oferta-especial-de-una-caja-kinder-por-responder-a-una-encuesta/,Maldita,fake_news,,2026-04-20T13:49:38+02:00,,factcheck_feed,2026-04-21T00:03:43.250375+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999996,kept,kept_original
f83de0bf18614dd2,"Suiza no ha prohibido las mamografías, a abril de 2026","Suiza no ha prohibido las mamografías, a abril de 2026",https://maldita.es/malditobulo/20260420/suiza-prohibe-mamografia-bulo/,Maldita,fake_news,,2026-04-20T13:15:00+02:00,,factcheck_feed,2026-04-21T00:03:43.250629+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.85714,kept,kept_original
b081a1fa682bb7b7,"No, el economista Santiago Niño Becerra no ha promocionado la supuesta plataforma de inversión Ai Botradyx Lux: es un timo","No, el economista Santiago Niño Becerra no ha promocionado la supuesta plataforma de inversión Ai Botradyx Lux: es un timo",https://maldita.es/desinfo/20260420/el-economista-santiago-nino-becerra-habla-de-la-plataforma-ai-botradyx-lux-en-su-ultima-entrevista-con-el-mundo/,Maldita,fake_news,,2026-04-20T12:28:45+02:00,,factcheck_feed,2026-04-21T00:03:43.250891+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999997,kept,kept_original
b2c0bdb503ded6c9,"No, el Ministerio de Sanidad no está pidiendo que se renueven las tarjetas sanitarias emitidas antes de enero de 2023: es un timo","No, el Ministerio de Sanidad no está pidiendo que se renueven las tarjetas sanitarias emitidas antes de enero de 2023: es un timo",https://maldita.es/desinfo/20260420/debido-a-la-implementacion-de-un-nuevo-sistema-de-identificacion-electronica-todas-las-tarjetas-sanitarias-emitidas-antes-de-enero-de-2023-deben-ser-sustituidas-a-partir-de-2026/,Maldita,fake_news,,2026-04-20T11:08:19+02:00,,factcheck_feed,2026-04-21T00:03:43.251162+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999998,kept,kept_original
787c0ab1b0f73d36,Bulos y desinformaciones que te están intentando colar sobre la regularización extraordinaria de personas migrantes aprobada el 14 de abril de 2026,Bulos y desinformaciones que te están intentando colar sobre la regularización extraordinaria de personas migrantes aprobada el 14 de abril de 2026,https://maldita.es/malditobulo/20260417/bulos-desinformaciones-regularizacion-inmigrantes/,Maldita,fake_news,,2026-04-17T16:40:00+02:00,,factcheck_feed,2026-04-21T00:03:43.251438+00:00,https://maldita.es/feed/,,,fake_news,,,False,claimreview-factcheck-v1.0,train,es,0.999995,kept,kept_original
